Pair ID,Drug_A,Drug_B,MW_A,LogP_A,HBD_A,HBA_A,TPSA_A,MW_B,LogP_B,HBD_B,HBA_B,TPSA_B,Avg_MW,Avg_LogP,Sum_HBD,Sum_HBA,Avg_TPSA,raw_cluster,Cluster,Route_Prediction,MBA_Strategy
1,Methotrexate,Cyclophosphamide,45.44,-1.85,5,12,211.0,261.08,0.63,1,4,41.6,153.26,-0.6100000000000001,6,16,126.3,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
2,Methotrexate,Vinblastine,45.44,-1.85,5,12,211.0,811.0,3.7,3,12,154.0,428.22,0.925,8,24,182.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
3,Methotrexate,5-FU,45.44,-1.85,5,12,211.0,130.08,-89.0,2,3,58.2,87.76,-45.425,7,15,134.6,4,0,Route: Specialized IV/Salts,Target: Rapid absorption. MBA: Focus on Acute Care/Hospital setting.
4,Methotrexate,Doxorubicin hydrochloride,45.44,-1.85,5,12,211.0,543.5,1.27,6,12,206.0,294.47,-0.29,11,24,208.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
6,Methotrexate,Goserelin,45.44,-1.85,5,12,211.0,1269.4,-2.0,17,16,496.0,657.4200000000001,-1.925,22,28,353.5,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
7,Methotrexate,Paclitaxel,45.44,-1.85,5,12,211.0,853.9,3.0,4,14,221.0,449.67,0.575,9,26,216.0,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
8,Methotrexate,Anastrozole,45.44,-1.85,5,12,211.0,293.4,1.58,0,4,78.3,169.42,-0.135,5,16,144.65,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
9,Methotrexate,Gemcitabine,45.44,-1.85,5,12,211.0,1269.4,-2.0,17,16,496.0,657.4200000000001,-1.925,22,28,353.5,1,4,Route: Complex Chemotherapy IV,Target: Specialized Oncology Centers. MBA: High barrier to entry for generics.
10,Methotrexate,Docetaxel,45.44,-1.85,5,12,211.0,807.9,2.4,5,14,224.0,426.67,0.2749999999999999,10,26,217.5,2,3,Route: SC / IM Injection,Target: Long-acting release. MBA: Lifecycle management to extend patent life.
11,Methotrexate,Letrozole,45.44,-1.85,5,12,211.0,285.3,2.5,0,4,78.3,165.37,0.325,5,16,144.65,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
12,Methotrexate,Capecitabine,45.44,-1.85,5,12,211.0,359.35,0.4,7,7,121.0,202.395,-0.7250000000000001,12,19,166.0,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
13,Methotrexate,Exemestane,45.44,-1.85,5,12,211.0,296.4,3.7,0,2,34.1,170.92,0.925,5,14,122.55,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
14,Methotrexate,Fulvestrant,45.44,-1.85,5,12,211.0,606.8,8.9,2,9,76.7,326.12,3.525,7,21,143.85,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
15,Methotrexate,Lapatinib,45.44,-1.85,5,12,211.0,581.1,5.4,2,9,115.0,313.27,1.775,7,21,163.0,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
16,Methotrexate,Palbociclib,45.44,-1.85,5,12,211.0,447.5,0.99,2,8,103.0,246.47,-0.43,7,20,157.0,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
17,Methotrexate,Tucatinib,45.44,-1.85,5,12,211.0,480.5,3.62,2,8,111.0,262.97,0.885,7,20,161.0,0,2,Route: Standard IV Infusion,Target: Clinical setting. MBA: Stable revenue through doctor 'Buy-and-Bill' model.
