Drug_A,Drug_A_SMILES,Drug_B,Drug_B_SMILES,A_MW,B_MW,Delta_MW,A_LogP,B_LogP,Delta_LogP,A_HBD,B_HBD,Delta_HBD,A_HBA,B_HBA,Delta_HBA,A_TPSA,B_TPSA,Delta_TPSA,A_Rotatable_Bonds,B_Rotatable_Bonds,Delta_Rotatable_Bonds,A_pKa_Acidic,B_pKa_Acidic,Delta_pKa_Acidic,A_pKa_Basic,B_pKa_Basic,Delta_pKa_Basic,A_Solubility_mg_ml,B_Solubility_mg_ml,Delta_Solubility_mg_ml,Chemical_Distance,Tanimoto_Similarity,Oral_Compatibility_Label
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,130.08,506.6,-376.52,-0.66,4.42,-5.08,2,1,1,3,9,-6,58.2,75,-16.8,0,7,-7,7.18,10.27,-3.09,-8,7.94,-15.94,5.86,0.0159,5.8441,377.4376001,0.064935065,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Abraxane,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,130.08,853.9,-723.82,-0.66,3.54,-4.2,2,4,-2,3,14,-11,58.2,221,-162.8,0,14,-14,7.18,11.9,-4.72,-8,-1.2,-6.8,5.86,0.00556,5.85444,742.1998823,0.03960396,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,130.08,958.2,-828.12,-0.66,5.01,-5.67,2,3,-1,3,14,-11,58.2,205,-146.8,0,9,-9,7.18,9.96,-2.78,-8,-2.7,-5.3,5.86,0.00163,5.85837,841.2123764,0.041666667,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,130.08,441.5,-311.42,-0.66,2.81,-3.47,2,2,0,3,8,-5,58.2,129,-70.8,0,4,-4,7.18,7.79,-0.61,-8,2.81,-10.81,5.86,0.00528,5.85472,319.6867267,0.052631579,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,130.08,293.4,-163.32,-0.66,1.58,-2.24,2,0,2,3,4,-1,58.2,78.3,-20.1,0,4,-4,7.18,1.4,5.78,-8,2,-10,5.86,0.0661,5.7939,165.1376023,0.039215686,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Aredia,C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],130.08,279.03,-148.95,-0.66,-4.5,3.84,2,4,-2,3,8,-5,58.2,167,-108.8,0,4,-4,7.18,0.67,6.51,-8,9.86,-17.86,5.86,15.8,-9.94,185.8586866,0.052631579,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Arimidex,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,130.08,293.4,-163.32,-0.66,2.31,-2.97,2,0,2,3,4,-1,58.2,78.3,-20.1,0,4,-4,7.18,1.4,5.78,-8,2,-10,5.86,0.0661,5.7939,165.1491174,0.039215686,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Aromasin,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,130.08,296.4,-166.32,-0.66,2.67,-3.33,2,0,2,3,2,1,58.2,34.1,24.1,0,0,0,7.18,0,7.18,-8,-5,-3,5.86,0.00683,5.85317,168.3866185,0.071428571,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Avgemsi,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,130.08,299.66,-169.58,-0.66,0.14,-0.8,2,4,-2,3,6,-3,58.2,108,-49.8,0,2,-2,7.18,11.52,-4.34,-8,3.65,-11.65,5.86,22.3,-16.44,177.9884493,0.090909091,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Beizray,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,130.08,807.9,-677.82,-0.66,2.4,-3.06,2,5,-3,3,14,-11,58.2,224,-165.8,0,13,-13,7.18,11.9,-4.72,-8,-3,-5,5.86,0.0127,5.8473,698.082678,0.038461538,1
